Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
DA199	DA199	1	4	SE	Homo sapiens	double	none	inputs/ERR2505895.fastq.gz	NA	NA
DA2	DA2	1	4	SE	Homo sapiens	double	none	inputs/ERR2505923.fastq.gz	NA	NA
DA20	DA20	1	4	SE	Homo sapiens	double	none	inputs/ERR2505905.fastq.gz	NA	NA
DA201	DA201	1	4	SE	Homo sapiens	double	none	inputs/ERR2505897.fastq.gz	NA	NA
DA202	DA202	1	4	SE	Homo sapiens	double	none	inputs/ERR2505898.fastq.gz	NA	NA
DA203	DA203	1	4	SE	Homo sapiens	double	none	inputs/ERR2505899.fastq.gz	NA	NA
DA204	DA204	1	4	SE	Homo sapiens	double	none	inputs/ERR2505900.fastq.gz	NA	NA
DA205	DA205	1	4	SE	Homo sapiens	double	none	inputs/ERR2505901.fastq.gz	NA	NA
DA206	DA206	1	4	SE	Homo sapiens	double	none	inputs/ERR2505902.fastq.gz	NA	NA
DA207	DA207	1	4	SE	Homo sapiens	double	none	inputs/ERR2505903.fastq.gz	NA	NA
DA208	DA208	1	4	SE	Homo sapiens	double	none	inputs/ERR2505904.fastq.gz	NA	NA
DA220	DA220	1	4	SE	Homo sapiens	double	none	inputs/ERR2505906.fastq.gz	NA	NA
DA221	DA221	1	4	SE	Homo sapiens	double	none	inputs/ERR2505907.fastq.gz	NA	NA
DA222	DA222	1	4	SE	Homo sapiens	double	none	inputs/ERR2505908.fastq.gz	NA	NA
DA223	DA223	1	4	SE	Homo sapiens	double	none	inputs/ERR2505909.fastq.gz	NA	NA
DA224	DA224	1	4	SE	Homo sapiens	double	none	inputs/ERR2505910.fastq.gz	NA	NA
DA226	DA226	1	4	SE	Homo sapiens	double	none	inputs/ERR2505911.fastq.gz	NA	NA
DA227	DA227	1	4	SE	Homo sapiens	double	none	inputs/ERR2505912.fastq.gz	NA	NA
DA228	DA228	1	4	SE	Homo sapiens	double	none	inputs/ERR2505913.fastq.gz	NA	NA
DA229	DA229	1	4	SE	Homo sapiens	double	none	inputs/ERR2505914.fastq.gz	NA	NA
DA23	DA23	1	4	SE	Homo sapiens	double	none	inputs/ERR2505917.fastq.gz	NA	NA
DA230	DA230	1	4	SE	Homo sapiens	double	none	inputs/ERR2505915.fastq.gz	NA	NA
DA231	DA231	1	4	SE	Homo sapiens	double	none	inputs/ERR2505916.fastq.gz	NA	NA
DA243	DA243	1	4	SE	Homo sapiens	double	none	inputs/ERR2505918.fastq.gz	NA	NA
DA26	DA26	1	4	SE	Homo sapiens	double	none	inputs/ERR2505919.fastq.gz	NA	NA
DA27	DA27	1	4	SE	Homo sapiens	double	none	inputs/ERR2505920.fastq.gz	NA	NA
DA28	DA28	1	4	SE	Homo sapiens	double	none	inputs/ERR2505921.fastq.gz	NA	NA
