Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
DA10	DA10	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505849.fastq.gz	NA	NA
DA100	DA100	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505844.fastq.gz	NA	NA
DA101	DA101	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505845.fastq.gz	NA	NA
DA104	DA104	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505846.fastq.gz	NA	NA
DA105	DA105	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505847.fastq.gz	NA	NA
DA106	DA106	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505848.fastq.gz	NA	NA
DA11	DA11	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505856.fastq.gz	NA	NA
DA111	DA111	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505850.fastq.gz	NA	NA
DA112	DA112	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505851.fastq.gz	NA	NA
DA116	DA116	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505852.fastq.gz	NA	NA
DA117	DA117	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505853.fastq.gz	NA	NA
DA118	DA118	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505854.fastq.gz	NA	NA
DA119	DA119	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505855.fastq.gz	NA	NA
DA121	DA121	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505857.fastq.gz	NA	NA
DA123	DA123	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505858.fastq.gz	NA	NA
DA124	DA124	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505859.fastq.gz	NA	NA
DA125	DA125	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505860.fastq.gz	NA	NA
DA126	DA126	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505861.fastq.gz	NA	NA
DA127	DA127	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505862.fastq.gz	NA	NA
DA128	DA128	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505863.fastq.gz	NA	NA
DA129	DA129	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505864.fastq.gz	NA	NA
DA13	DA13	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505868.fastq.gz	NA	NA
DA130	DA130	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505865.fastq.gz	NA	NA
DA134	DA134	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505866.fastq.gz	NA	NA
DA136	DA136	1	4	SE	Homo-sapiens	double	none	inputs/ERR2592344.fastq.gz	NA	NA
DA139	DA139	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505867.fastq.gz	NA	NA
DA14	DA14	1	4	SE	Homo-sapiens	double	none	inputs/ERR2505875.fastq.gz	NA	NA
