Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
DA28	DA28	1	4	SE	Homo sapiens	double	none	inputs/ERR2505921.fastq.gz	NA	NA
DA29	DA29	1	4	SE	Homo sapiens	double	none	inputs/ERR2505922.fastq.gz	NA	NA
DA3	DA3	1	4	SE	Homo sapiens	double	none	inputs/ERR2505934.fastq.gz	NA	NA
DA30	DA30	1	4	SE	Homo sapiens	double	none	inputs/ERR2505924.fastq.gz	NA	NA
DA31	DA31	1	4	SE	Homo sapiens	double	none	inputs/ERR2505925.fastq.gz	NA	NA
DA343	DA343	1	4	SE	Homo sapiens	double	none	inputs/ERR2505926.fastq.gz	NA	NA
DA35	DA35	1	4	SE	Homo sapiens	double	none	inputs/ERR2505929.fastq.gz	NA	NA
DA353	DA353	1	4	SE	Homo sapiens	double	none	inputs/ERR2505927.fastq.gz	NA	NA
DA356	DA356	1	4	SE	Homo sapiens	double	none	inputs/ERR2505928.fastq.gz	NA	NA
DA361	DA361	1	4	SE	Homo sapiens	double	none	inputs/ERR2505930.fastq.gz	NA	NA
DA38	DA38	1	4	SE	Homo sapiens	double	none	inputs/ERR2505932.fastq.gz	NA	NA
DA385	DA385	1	4	SE	Homo sapiens	double	none	inputs/ERR2505931.fastq.gz	NA	NA
DA39	DA39	1	4	SE	Homo sapiens	double	none	inputs/ERR2505933.fastq.gz	NA	NA
DA4	DA4	1	4	SE	Homo sapiens	double	none	inputs/ERR2505941.fastq.gz	NA	NA
DA41	DA41	1	4	SE	Homo sapiens	double	none	inputs/ERR2505935.fastq.gz	NA	NA
DA43	DA43	1	4	SE	Homo sapiens	double	none	inputs/ERR2505936.fastq.gz	NA	NA
DA45	DA45	1	4	SE	Homo sapiens	double	none	inputs/ERR2505937.fastq.gz	NA	NA
DA47	DA47	1	4	SE	Homo sapiens	double	none	inputs/ERR2505938.fastq.gz	NA	NA
DA48	DA48	1	4	SE	Homo sapiens	double	none	inputs/ERR2505939.fastq.gz	NA	NA
DA49	DA49	1	4	SE	Homo sapiens	double	none	inputs/ERR2505940.fastq.gz	NA	NA
DA5	DA5	1	4	SE	Homo sapiens	double	none	inputs/ERR2505952.fastq.gz	NA	NA
DA50	DA50	1	4	SE	Homo sapiens	double	none	inputs/ERR2505942.fastq.gz	NA	NA
DA51	DA51	1	4	SE	Homo sapiens	double	none	inputs/ERR2505943.fastq.gz	NA	NA
DA52	DA52	1	4	SE	Homo sapiens	double	none	inputs/ERR2505944.fastq.gz	NA	NA
DA53	DA53	1	4	SE	Homo sapiens	double	none	inputs/ERR2505945.fastq.gz	NA	NA
DA54	DA54	1	4	SE	Homo sapiens	double	none	inputs/ERR2505946.fastq.gz	NA	NA
DA55	DA55	1	4	SE	Homo sapiens	double	none	inputs/ERR2505947.fastq.gz	NA	NA
DA56	DA56	1	4	SE	Homo sapiens	double	none	inputs/ERR2505948.fastq.gz	NA	NA
