Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
DA141	DA141	1	4	SE	Homo sapiens	double	none	inputs/ERR2505869.fastq.gz	NA	NA
DA142	DA142	1	4	SE	Homo sapiens	double	none	inputs/ERR2505870.fastq.gz	NA	NA
DA143	DA143	1	4	SE	Homo sapiens	double	none	inputs/ERR2505871.fastq.gz	NA	NA
DA144	DA144	1	4	SE	Homo sapiens	double	none	inputs/ERR2505872.fastq.gz	NA	NA
DA145	DA145	1	4	SE	Homo sapiens	double	none	inputs/ERR2505873.fastq.gz	NA	NA
DA146	DA146	1	4	SE	Homo sapiens	double	none	inputs/ERR2505874.fastq.gz	NA	NA
DA15	DA15	1	4	SE	Homo sapiens	double	none	inputs/ERR2505876.fastq.gz	NA	NA
DA16	DA16	1	4	SE	Homo sapiens	double	none	inputs/ERR2505881.fastq.gz	NA	NA
DA160	DA160	1	4	SE	Homo sapiens	double	none	inputs/ERR2505877.fastq.gz	NA	NA
DA161	DA161	1	4	SE	Homo sapiens	double	none	inputs/ERR2505878.fastq.gz	NA	NA
DA162	DA162	1	4	SE	Homo sapiens	double	none	inputs/ERR2505879.fastq.gz	NA	NA
DA164	DA164	1	4	SE	Homo sapiens	double	none	inputs/ERR2505880.fastq.gz	NA	NA
DA17	DA17	1	4	SE	Homo sapiens	double	none	inputs/ERR2505885.fastq.gz	NA	NA
DA171	DA171	1	4	SE	Homo sapiens	double	none	inputs/ERR2505882.fastq.gz	NA	NA
DA177	DA177	1	4	SE	Homo sapiens	double	none	inputs/ERR2505883.fastq.gz	NA	NA
DA179	DA179	1	4	SE	Homo sapiens	double	none	inputs/ERR2505884.fastq.gz	NA	NA
DA18	DA18	1	4	SE	Homo sapiens	double	none	inputs/ERR2505888.fastq.gz	NA	NA
DA188	DA188	1	4	SE	Homo sapiens	double	none	inputs/ERR2505886.fastq.gz	NA	NA
DA189	DA189	1	4	SE	Homo sapiens	double	none	inputs/ERR2505887.fastq.gz	NA	NA
DA19	DA19	1	4	SE	Homo sapiens	double	none	inputs/ERR2505896.fastq.gz	NA	NA
DA190	DA190	1	4	SE	Homo sapiens	double	none	inputs/ERR2505889.fastq.gz	NA	NA
DA191	DA191	1	4	SE	Homo sapiens	double	none	inputs/ERR2505890.fastq.gz	NA	NA
DA194	DA194	1	4	SE	Homo sapiens	double	none	inputs/ERR2505891.fastq.gz	NA	NA
DA195	DA195	1	4	SE	Homo sapiens	double	none	inputs/ERR2505892.fastq.gz	NA	NA
DA197	DA197	1	4	SE	Homo sapiens	double	none	inputs/ERR2505893.fastq.gz	NA	NA
DA198	DA198	1	4	SE	Homo sapiens	double	none	inputs/ERR2505894.fastq.gz	NA	NA
DA199	DA199	1	4	SE	Homo sapiens	double	none	inputs/ERR2505895.fastq.gz	NA	NA
